brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
,Tênis Masculino Esportivo Bmw Corrida Confortável Promoção,199,99,119,99,,
,Tenis Masculino Olimp Esportivo Promoção Barato Aproveite,79,90,26,63,,
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,78,90,61,54,4.5,(2575)
OLYMPIKUS,Tênis Olympikus Cosmo Masculino Novo,229,99,215,99,,
UNDER ARMOUR,Tênis Under Armour Charged Hit Preto Masculino,499,90,49,99,,
OLYMPIKUS,Tênis Olympikus Dynamic Esportivo Academia Macio Original,289,99,32,22,,
SKECHERS,Tênis Skechers Go Run Fast Branco Masculino,379,90,37,99,,
OLYMPIKUS,Tênis Olympikus Dynamic - Masculino 25091,339,99,34,,,
OLYMPIKUS,Tênis Masculino Olympikus Estilo 2 - Cinza/verde,259,90,246,90,,
OLYMPIKUS,Tênis Olympikus Veloz 3 Esportivo Masculino Original,315,80,289,10,,
PROSPECT,Tênis Masculino Prospect Fly Academia Esporte Corrida Leve,69,90,44,73,4.0,(45)
OLYMPIKUS,Tênis Masculino Olimp Para Corrida E Caminhada Macio E Leve,279,99,229,59,5.0,(35)
OLYMPIKUS,Tenis Masculino Olympikus Orbita ,209,99,35,,,
NIKE,Tênis Nike Winflo 11 Masculino,699,99,67,86,,
,Tênis Masculino Esportivo Corrida Formula 1 Automobilismo,159,90,63,96,,
OLYMPIKUS,Tênis Masculino Olympikus Estilo 2 - Cinza/verde,259,90,246,90,,
FILA,Tênis Fila Renno Classic Masculino Preto,289,90,32,21,,
OLYMPIKUS,Tenis Masculino Olympikus Orbita ,199,99,19,44,,
,Tênis Masculino Revelation Gel Academia Macio Caminhada,299,99,98,99,,
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,179,45,4.4,(1928)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,71,99,4.5,(11144)
OLYMPIKUS,Tênis Olympikus Unissex Reverso 2 Versátil Corrida Academia,422,11,42,21,,
OLYMPIKUS,Tênis Olympikus Sonoro Caminhada Running Masculino Sonoro,329,99,31,99,,
OLYMPIKUS,Tênis Olympikus Masculino Original Color Sonoro Caminhada Br,329,99,31,99,,
OLYMPIKUS,Tênis Masculino Olympikus Orbita Caminhada Treino,199,90,19,43,,
OLYMPIKUS,Tênis Olympikus Fluir Leve Caminhada Treino Corrida Academia,189,87,18,46,,
NIKE,Nike Court Vision Low Next Nature Masculino Adultos,459,99,46,,4.5,(189)
FILA,Tênis Fila Prisma Masculino Preto E Cinza Original,417,98,304,94,,
OLYMPIKUS,Tênis Modulo Masculino Olympikus Novo,249,99,234,99,,
FILA,Tênis Fila Racer Speedzone Masculino,599,90,59,99,,
FILA,Tenis Masculino Fila Float Maxxi 2 Corrida Pro Original,874,99,699,99,,
OLYMPIKUS,Tênis Masculino Olympikus Beats Com Tecnologia Evasense,299,99,33,33,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Treino Corrida Cross Funcional,299,99,33,33,,
OLYMPIKUS,Tênis Olympikus Original,269,90,33,74,,
FILA,Tênis Fila Maxximus Masculino Running,455,11,44,,,
OLDSEN,Kit 2 Tenis Na Moda Esporte Academia Caminhada,239,90,23,32,,
SKECHERS,Tênis Skechers Arch Fit Dlux Key Journey Preto Masculino,599,90,59,99,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Corrida Caminhada - Masculino,379,99,36,84,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Tecnologia Eleva Gripper Envio Já,379,99,36,84,,
OLYMPIKUS,Tênis Olympikus Beats Masculino Lançamento Original Moderno,299,99,33,33,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Solado Reforçado Envio Já,299,99,33,33,,
FILA,Tênis Fila Recovery Preto Azul Masculino ,374,90,36,35,,
NEW BALANCE,Tênis New Balance Fuelcell Propel V5 - Original Top Sports,799,90,695,91,,
FILA,Tênis Fila Masculino Prisma Original,417,98,279,75,,
OLYMPIKUS,Tênis Olympikus Masculino Conforto Macia Leveza Envio Já,299,99,29,08,,
OLYMPIKUS,Tênis Olympikus Beats Masculino Dia A Dia Casual Versátil Nf,299,99,29,08,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Original Lançamento Classico,299,99,29,08,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Despojado Dia A Dia Envio Já,299,99,29,08,,
SKECHERS,Tênis Skechers Go Run Elevate Preto Masculino,439,90,43,99,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino Original Lançamento,299,99,254,99,,
OLYMPIKUS,Tênis Olympikus Venum Tecnologia Evasense E Covergrid,229,99,22,36,,
OLYMPIKUS,Tênis Olympikus Venum Reforçado Para Dia A Dia Trabalho Nfe,229,99,22,36,,
OLYMPIKUS,Tênis Olympikus Index 3 Cinza E Preto Casual - Masculino,189,99,18,47,,
,Tênis Masculino Treino Academia Corrida Caminhada Conforto,109,59,10,,,
OLYMPIKUS,Tênis Original Olympikus Subverse Preto Corrida - Masculino,349,99,33,93,,
OLYMPIKUS,Tênis Olympikus Subverse Confortável Macio Leve Corrida,349,99,33,93,,
OLYMPIKUS,Tênis Esportivo Masculino Dia A Dia Corrida Olympikus Ritmo,279,90,31,10,,
